,,,,,,,,
Monday,D-5,Islamic Studies/Ethics & Holy Quran (BDS-2A),,Ideology and Const of Pak & Seerat (BCS-2K),,Tech. & Business Writing (BCS-4H),Tech. & Business Writing (BCS-4G),
Monday,English Lab-1,,,,,,,
Monday,English Lab-2,,,,,,,
Monday,English Lab-3,,,,,,,
Monday,English Lab-4,,,,,,,
Monday,English Lab-5,,,,,,,
Monday,English Lab-6,,,,,,,
Monday,Lab-1,,Object Oriented Programming Lab (BCS-2F),,Object Oriented Programming Lab (BCS-2E),,,
Monday,Lab-2,,,Object Oriented Programming Lab (BSE-2A),,Soft Design & Architecture Lab (BSE-6A),,
Monday,Lab-3,,,,,,,
Monday,Lab-4,,,Data Structures Lab (BCS-4A),,,,
Monday,Lab-6,,,,,,,
Monday,Lab-8,,,,,,,
Monday,Lab-13,,,Operating Systems Lab (BCS-4H),,,,
Monday,Lab-14,Web Engineering Lab (BSE-6B),,Operating Systems Lab (BSE-4A),,,,
Monday,Lab-15,Web Engineering Lab (BSE-6C),,Database Systems Lab (BSE-4B),,Database Systems Lab (BDS-4A),,
Monday,Lab-16,Artificial Intelligence Lab (BCS-6H),,,Object Oriented Programming Lab (BSE-2B),,,
Monday,Physics Lab,,,,,,,
Monday,Micro Lab,,,,,,,
Monday,Physics Lab,,,,,,,
Monday,Micro Lab,,,,,,,
Monday,Physics Lab,,Digital Logic Design Lab (BCS-2J1),,Digital Logic Design Lab (BDS-2B1),,,
Monday,Micro Lab,,Digital Logic Design Lab (BCS-2J2),,Digital Logic Design Lab (BDS-2B2),,,
,,,,,,,,
Tuesday,Seminar Hall,Probability & Statistics (BCS-4G),Probability & Statistics (BCS-4H),Multivariable Calculus (BCS-2F),,Multivariable Calculus (BCS-2E),,
Tuesday,F-201,Machine Learning for Data Science (MDS-2B),,Natural Language Processing (BDS-6A),Parallel & Distributed Comp (BCS-6J),Design & Analysis of Algo (BCS-6B),Design & Analysis of Algo (BCS-6A),Soft. Process Managment & Metrics (MSP-2A)
Tuesday,F-202,Advanced Machine Learning (MCS-4A),,Operating Systems (BSE-4A),Operating Systems (BSE-4B),Object Oriented Programming (BCS-2D),Artificial Intelligence (BCS-6C),Marketing Management (MSP-4A)
Tuesday,F-203,Fund. of Computer Vision (BCS-8A),Database Systems (BCS-4J),Database Systems (BCS-4H),Compiler Construction (BCS-6B),Design & Analysis of Algo (BSE-6C),,
Tuesday,F-204,Operating Systems (BCS-6A),Database Systems (BDS-4A),,Compiler Construction (BCS-6E),Object Oriented Programming (BCS-2G),Communication & Presentation Skills (BCS-6A),
Tuesday,F-205,Machine Learning for Data Science (MDS-2A),,Com. Org. & Assembly Lang. (BDS-4C),Adv Database Concepts (BSE-6A),Data Science (BCS-8C),,
Tuesday,F-206,Digital Logic Design (BSE-2B),Software Testing (BCS-6A),Adv Database Concepts (BCS-6A),Software for Mobile Devices (BSE-8A),Adv Database Concepts (BCS-6B),Information Security (BSE-8A),
Tuesday,F-207,Cyber Security (BCS-6C),Object Oriented Programming (BCS-2J),Information Security (BDS-8A),Database Systems (BCS-4E),Database Systems (BCS-4F),Game Development (BCS-8A),
Tuesday,F-208,,,Funda. of Software Eng (BDS-4A),Game Design Development (BSE-6A),Funda. of Software Eng (BDS-4C),,Applied Physics (BCS-6A)
Tuesday,F-209,Database Systems (BSE-4A),Database Systems (BSE-4B),Fund. of Computer Vision (BCS-8B),Generative AI (BCS-8A),Generative AI (BDS-8A),Generative AI (BDS-8B),
Tuesday,F-210,,Mining Massive Datasets (BCS-6A),Software Testing (BCS-6B),Computer Networks (BDS-8A),Probability & Statistics (BSE-4A),Multivariable Calculus (BCS-2K),
Tuesday,F-301,,Com. Org. & Assembly Lang. (BCS-4A),,Object Oriented Programming (BCS-2E),Adv Database Concepts (BSE-8A),Funda. of Software Eng (BDS-4B),
Tuesday,F-302,Cyber Security (BCS-6A),Cyber Security (BCS-6B),Bioinformatics (BCS-8A),,Software for Mobile Devices (BCS-8A),,
Tuesday,F-303,,Information Security (BCS-8A),,Intro to Internet of Things (BCS-8A),Information Security (BCS-8B),,
Tuesday,F-304,Artificial Intelligence (BCS-6J),Artificial Intelligence (BCS-6K),Parallel & Distributed Comp (BCS-6D),Artificial Intelligence (BDS-6B),Fundamentals of Management (BDS-4A),,
Tuesday,F-305,,,Natural Language Processing (BDS-6B),Theory of Automata (BCS-6B),Operations Research (BCS-8A),,
Tuesday,F-306,Compiler Construction (BCS-6F),American History (BCS-8A),Software Engineering (BCS-6G),Software Engineering (BCS-6H),Parallel & Distributed Comp (BCS-6G),,
Tuesday,F-307,,Marketing Management (BDS-6A),Software Engineering (BCS-6C),,,,
Tuesday,F-308,Entrepreneurship (BCS-8B),Cyber Security (BCS-6D),Operating Systems (BCS-4E),Operating Systems (BCS-4H),Operating Systems (BCS-4C),Operating Systems (BCS-4D),
Tuesday,F-309,Computer Networks (BSE-6C),Computer Networks (BSE-6A),Computer Networks (BSE-6B),Database Systems (BCS-6A),,,
